楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,平均スコア,最小スコア,最大スコア,s6前スコア,ポイント
1,1,1_1,220,121.6,106.3,3,4.7,6,3.8,9.09,3.434,88.965,83.04,16,18,23,33,55,60,74,84,127,132,175,199,124,145,3038946.174,3018285.546,3053234.708,2769036.183,344.0081552
1,2,1_2,492,121.6,249.1,9.3,8.6,10.201,9.486,21.177,3.432,201.33,193.946,24,35,59,72,115,134,201,220,277,306,426,454,267,314,2874654.727,2854139.094,2883401.353,2747396.323,332.990964
1,3,1_3,719,121.6,497.3,14.1,15.049,31.008,14.111,58.344,9.328,410.096,405.163,68,91,155,177,230,259,341,368,445,477,622,671,428,497,3196670.457,3157778.491,3215335.734,3067796.757,354.58496
1,4,1_4,961,121.6,686.9,23.01,25.784,46.35,24.44,72.504,27.511,549.878,539.156,62,101,185,222,307,343,444,487,628,668,872,916,607,702,3455418.441,3423639.125,3472311.087,3181728.718,371.9362955
1,5,1_5,1147,121.6,795.1,27.33,28.325,40.499,30.24,72.0945,37.95,656.2025,635.5225,77,122,197,240,353,402,539,590,751,802,1027,1075,720,834,3417775.045,3392642.325,3429738.186,3072994.059,369.4119736
1,6,1_6,1353,121.6,642.7,17.336,20.6,37.646,27.636,50.283,60.06,527.92,515.6,176,229,317,372,475,530,679,753,898,937,1196,1265,875,1009,3615039.597,3594627.284,3630382.677,2996844.252,382.6403024
2,1,2_1,166,102.4,89.3,5,4,5.4,6.1,7.575,3.434,67.845,60.775,3,6,18,21,29,46,50,65,108,112,144,150,105,120,3353852.555,3340717.873,3365050.39,3009403.738,349.1111344
2,2,2_2,296,102.4,242.4,11,12,11.7,13.433,19.695,10.2,183.219,166.287,8,17,36,47,74,91,103,118,167,179,255,264,159,187,3229309.564,3214957.045,3236574.255,2871550.792,341.1257309
2,3,2_3,635,102.4,495.8,22.3,29.5,18.472,21.93,60,26.565,370.4305,323.1595,22,44,80,110,181,209,257,291,397,427,562,589,379,440,3539015.909,3504288.999,3556003.879,3059760.982,360.983373
2,4,2_4,827,102.4,686.1,32.2,43.43,31.62,42.642,69.42,43.442,498.312,442.472,22,62,136,176,247,294,343,379,489,527,728,770,466,547,3756143.863,3733636.524,3769842.449,3223843.765,374.9051065
2,5,2_5,975,102.4,909,41.6,47.47,47.798,48.36,88.914,48.32,683.463,622.73,22,67,139,183,273,332,406,444,566,617,870,916,536,632,3702525.766,3680469.623,3712958.176,3248049.505,371.4672403
2,6,2_6,1040,102.4,940.3,35.5,50.229,66.474,28.704,62.805,41.747,759.5345,685.5305,31,82,153,203,292,358,418,472,605,651,903,955,567,671,3456930.13,3442705.325,3472521.654,3039720.483,355.720226
3,1,3_1,135,111.56757,98.5,4,4.6,4,4.7,6,5.151,78.746,73.09,9,12,18,27,44,47,53,63,85,88,109,123,82,94,3075118.278,3067361.556,3079959.85,2680987.813,340.3560277
3,2,3_2,477,111.56757,379.5,14,14,12.726,16.16,35.19,12.647,304.304,277.67,42,55,74,87,116,133,156,171,246,268,387,427,234,278,3074293.06,3049640.84,3084850.543,2762916.197,340.3016604
3,3,3_3,681,111.56757,628.9,33,22.523,31.008,27.754,84.1605,21.561,456.107,412.627,60,90,129,153,205,237,274,301,395,451,594,638,373,440,3469693.583,3429498.703,3489012.607,3146747.579,366.3515773
3,4,3_4,997,111.56757,922.6,42.11,39.934,48.822,44.2,81.726,26.948,718.7085,644.5685,70,111,172,214,301,350,409,455,602,667,875,927,567,664,3418207.126,3398421.56,3427540.872,3096101.026,362.9595283
3,5,3_5,1221,111.56757,1161,50.36,43.554,70.862,52.5,118.692,68.2,887.604,797.404,87,136,217,264,371,441,521,578,769,839,1076,1137,734,854,3729346.235,3700882.619,3744692.851,3213647.987,383.4581049
6,1,6_1,198,93.6,110.2,5.1,5,5,9.7,13.1805,9.09,70.526,65.375,7,12,33,37,45,49,58,71,117,130,174,182,114,131,3629742.805,3598087.707,3646765.117,3076912.431,353.3399968
6,2,6_2,394,93.6,275.5,17,11.3,10.302,15.958,26.214,17.922,193.333,183.96,21,37,69,82,113,133,147,177,256,291,354,374,245,283,3403857.897,3382210.726,3419001.602,2961756.608,339.3882819
6,3,6_3,568,93.6,524.2,33,32.32,34.028,33.152,45.6465,36.687,351.179,334.569,41,71,120,149,199,230,265,302,396,423,492,534,385,440,3744704.221,3733871.674,3749275.681,3265792.62,360.4405548
6,4,6_4,808,93.6,788.8,41,41.672,41.981,46.95,77.7015,55.64,558.703,531.722,62,100,176,216,295,339,384,426,570,613,727,774,554,633,3814308.964,3793124.883,3823035.555,3307431.406,364.7396713
6,5,6_5,1060,93.6,1005.1,58.804,39.882,59.016,57.426,102.399,74.626,719.564,679.494,84,143,232,270,356,409,454,512,724,786,940,1006,701,806,3916661.519,3893092.857,3932508.202,3366803.934,371.0614468
6,6,6_6,1351,93.6,1533.3,89.132,86.267,78.169,87.586,142.2495,161.7,1063.209,969.929,138,203,294,352,482,561,630,703,938,1013,1215,1289,916,1050,4109689.318,4091691.884,4118550.762,3314381.563,382.983752
8,1,8_1,193,120,79.7,3.4,3,3,3.7,9.5445,3.03,61.7445,53.1595,23,29,45,47,60,62,74,83,105,113,141,143,104,122,3184891.064,3151437.325,3198548.38,2800471.124,353.7950478
8,2,8_2,268,120,157.9,11,7,6,6.125,15.15,11.252,114.661,95.475,17,25,43,48,70,75,92,107,144,153,194,205,142,166,3394137.801,3370141.88,3408129.31,2783180.574,367.8268878
8,3,8_3,488,120,434.2,23,17.372,21.624,23.664,21.939,21.424,336.3645,283.2205,72,94,142,160,204,226,264,284,348,363,410,435,345,392,3185753.751,3182311.528,3191302.083,2690288.353,353.8528986
8,4,8_4,719,120,639,29.593,31.04,30.076,31.533,32.2875,28.302,507.2875,442.1465,104,135,196,228,302,332,392,423,507,531,621,653,501,572,3250522.465,3249051.165,3251982.069,2804318.537,358.1962124
8,5,8_5,903,120,799.7,36.562,32.334,40.617,40.955,56.286,42.39,623.5145,543.2485,130,176,262,298,385,425,495,530,638,676,783,825,631,720,3444420.144,3433011.835,3452382.37,2937587.426,371.1987626
10,1,10_1,127,126.61417,87.8,3,3,4.2,7.3,3,9,65.449,48.9,5,7,13,15,21,35,57,65,76,78,94,98,90,101,3218270.73,3197787.502,3227190.277,2339554.36,362.2796498
10,2,10_2,437,126.61417,342,16,14,7.171,18.483,13.668,32.9085,266.577,201.098,20,35,66,79,118,143,178,197,226,242,337,359,323,365,3130925.516,3122223.419,3142192.471,2262502.119,356.3196235
10,3,10_3,685,126.61417,661.3,25,22.321,30.662,28.158,24.102,61.425,528.142,407.595,58,81,132,153,198,226,276,306,358,384,517,556,491,558,3208889.067,3204246.877,3212700.002,2346256.734,361.6394893
10,4,10_4,859,126.61417,853.8,32,32.421,35.802,43.775,36.608,77.817,680.978,528.004,64,93,165,195,255,288,351,392,456,490,668,709,641,725,3373922.56,3368384.417,3377583.62,2503127.945,372.9005982
10,5,10_5,1136,126.61417,1041.5,40.05,33.152,39.346,51.584,48.058,90.687,852.086,663.413,68,105,192,228,312,367,453,499,568,624,853,912,813,925,3392825.23,3386470.295,3398846.473,2528562.72,374.1904275
10,6,10_6,1205,126.61417,1105.1,57.188,37.332,48.69,56.7,43.826,89.7615,902.7235,681.97,89,130,230,280,379,426,528,581,664,710,946,995,911,1030,3475496.383,3469512.465,3482678.381,2612595.3,379.8315179
11,1,11_1,126,89.18919,70.5,5.4,4,3.8,5.1,7.5,6.363,44.962,39.71,5,22,25,28,31,41,48,62,87,91,101,109,85,96,3741713.377,3722693.131,3755008.229,3109569.032,363.6868341
11,2,11_2,297,89.18919,202.3,13,13.6,11.206,9.696,17.427,13.974,134.038,126.592,18,30,47,65,85,106,119,141,200,223,258,277,195,223,3497961.185,3484880.237,3508694.663,3031926.255,348.488168
11,3,11_3,367,89.18919,327.7,21.7,21.281,24.24,20.503,35.496,23.175,205.601,193.653,41,68,88,108,127,150,171,191,269,289,328,348,261,296,3864937.968,3845678.338,3874039.258,3378279.029,371.3702498
11,4,11_4,597,89.18919,523.1,31.2,33.128,35.772,37.753,59.592,37.59,339.061,305.671,46,86,121,159,186,222,253,304,414,443,514,555,402,461,4039132.173,4016361.868,4050802.297,3483136.723,382.2317708
11,5,11_5,722,89.18919,666.3,43.7,48.208,45.186,47.174,73.395,50.774,423.809,392.709,64,110,164,215,252,298,337,386,519,558,635,678,505,576,4194224.144,4174711.088,4203166.275,3627409.252,391.9022113
13,1,13_1,134,116.57143,87.5,3,3,3.7,9,4.3,3.03,69.193,59.396,9,11,16,18,24,33,63,68,79,94,115,117,61,73,3068314.344,3040827.192,3081332.712,2696724.84,342.9426593
13,2,13_2,381,116.57143,300.1,15,10.3,10.403,35.451,7.65,19.181,224.804,187.302,33,47,69,81,104,116,161,187,227,247,293,317,153,190,3260516.102,3223271.678,3278924.654,2684397.999,355.7184233
13,3,13_3,462,116.57143,411.8,16.1,18.282,18.685,28.917,16.729,18.231,321.226,269.127,49,65,91,110,156,177,225,251,295,313,371,393,218,263,3129334.961,3116661.765,3135727.785,2655416.894,346.9987356
13,4,13_4,719,116.57143,636.7,28.5,30.704,25.908,47.895,25.064,26.565,511.832,420.568,59,90,128,161,218,254,334,364,430,463,563,598,326,396,3291425.629,3276213.385,3299146.852,2791682.919,357.7729977
13,5,13_5,985,116.57143,847.4,40.309,44.88,33.405,66.78,12.72,49.248,684.638,556.502,92,156,250,293,368,428,534,588,682,693,807,856,516,613,3397094.3,3376121.204,3418069.016,2765399.835,364.7968564
