配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
1,1,Tell Your World,てるゆあわーるど,て,123.2,114,0_VS,3D,2020/09/30,,5,10,16,22,26,25,,,,,,,,,ｔ,てｌ,てっｌｙ,てっょうｒｗ,てっょうｒをｒｌｄ,
2,43,ネクストネスト,ねくすとねすと,ね,126.9,115,0_VS,-,2020/09/30,,6,13,18,27,30,,,,,ねくねく,,,,,,,,,,
3,47,メルト,めると,め,182.1,130,0_VS,-,2020/09/30,,7,12,17,25,29,,,,,,,,,,,,,,,
4,49,初音ミクの消失,はつねみくのしょうしつ,は,143.6,119,0_VS,-,2020/09/30,,9,15,22,30,35,,,,,しょうしつ,,,,,,,,,,
5,50,Blessing,ぶれっしんぐ,ふ,132.6,116,0_VS,原曲,2020/09/30,,5,11,16,23,27,,,,,,,,,,ｂｌ,ｂぇｓ,ｂぇっｓ,ｂぇっしｎ,ｂぇっしんｇ,
6,82,alive,あらいぶ,あ,118.1,112,0_VS,-,2020/09/30,,6,11,16,23,27,,,,,,,,,,あｌ,あぃｖ,あぃゔぇ,,,
7,2,ロキ,ろき,ろ,107,109,1_L/n,3D,2020/09/30,2024/12/11,7,11,17,24,29,28,,,,,,,,,,,,,,
8,3,テオ,てお,て,116.4,112,1_L/n,3D,2020/09/30,,9,14,19,27,32,,,,,,,,,,,,,,,
9,6,ヒバナ -Reloaded-,ひばなりろーでっど,ひ,95,105,1_L/n,2D,2020/09/30,,9,14,19,28,32,34,,,,,,,,,,,,,,
10,10,ハッピーシンセサイザ,はっぴーしんせさいざ,は,133,116,2_MMJ,2D/3D,2020/09/30,2025/02/07,6,11,18,24,28,29,,,,はぴしん,,,,,,,,,,
11,13,Nostalogic,のすたろじっく,の,120,113,2_MMJ,2D,2020/09/30,,6,12,17,23,29,,,,,,,,,,ｎ,のｓｔ,のｓたｌ,のｓたぉｇ,のｓたぉぎｃ,
12,71,ツギハギスタッカート,つぎはぎすたっかーと,つ,122.8,113,2_MMJ,3D,2020/09/30,,6,11,16,24,28,,,,,,,,,,,,,,,
13,26,劣等上等,れっとうじょうとう,れ,98.5,106,3_VBS,3D,2020/09/30,,7,12,18,25,30,,,,,,,,,,,,,,,
14,28,ドクター＝ファンクビート,どくたーふぁんくびーと,と,127.2,114,3_VBS,2D,2020/09/30,,8,13,19,27,32,,,,,どくふぁん,,,,,,,,,,
15,69,フラジール,ふらじーる,ふ,124,114,3_VBS,2D/3D,2020/09/30,,6,11,17,24,28,,,,,,,,,,,,,,,
16,38,ブリキノダンス,ぶりきのだんす,ふ,99.6,107,4_WxS,3D,2020/09/30,,8,13,18,25,30,,,,,,,,,,,,,,,
17,41,スイートマジック,すいーとまじっく,す,149,121,4_WxS,2D/3D,2020/09/30,2024/07/31,5,12,18,24,27,25,,,,すいまじ,すいいとまじっく,,,,,,,,,
18,78,ぼうけんのしょがきえました！,ぼうけんのしょがきえました,ほ,110.6,110,4_WxS,原曲/2D,2020/09/30,,8,13,19,26,31,,,,,,,,,,,,,,,
19,19,シャルル,しゃるる,し,104.3,108,5_25,3D,2020/09/30,,6,11,17,23,28,28,,,,,,,,,,,,,,
20,66,ハロ／ハワユ,はろはわゆ,は,146.7,120,5_25,-,2020/09/30,,5,10,15,22,27,,,,,,,,,,,,,,,
21,67,自傷無色,じしょうむしょく,し,104,108,5_25,2D/3D,2020/09/30,,5,10,17,22,26,,,,,,,,,,,,,,,
