楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
1,1,1_1,220,121.6,106.3,3,4.7,6,3.8,6.06,3.434,79.875,73.95,16,18,23,33,55,60,74,84,127,132,175,199,124,145,3,4.7,6,3.8,6,3.4,79.4
1,2,1_2,492,121.6,249.1,9.3,8.6,10.201,9.486,14.118,3.432,197.654,190.27,24,35,59,72,115,134,201,220,277,306,426,454,267,314,9.3,8.6,10.1,9.3,13.8,3.3,194.7
1,3,1_3,719,121.6,497.3,14.1,15.049,31.008,14.111,38.896,9.328,389.036,384.103,68,91,155,177,230,259,341,368,445,477,622,671,428,497,14.1,13.9,28.4,13.7,35.4,8.8,383
1,4,1_4,961,121.6,686.9,23.01,25.784,46.35,24.44,48.336,27.511,520.188,509.466,62,101,185,222,307,343,444,487,628,668,872,916,607,702,23,23.4,43,23.5,43.6,24.4,506
1,5,1_5,1147,121.6,795.1,27.33,28.325,40.499,30.24,48.063,37.95,622.293,601.613,77,122,197,240,353,402,539,590,751,802,1027,1075,720,834,27.2,25.8,37.3,28.8,42.9,33.5,599.6
1,6,1_6,1353,121.6,642.7,17.336,20.6,37.646,27.636,33.522,60.06,488.424,476.104,176,229,317,372,475,530,679,753,898,937,1196,1265,875,1009,17.1,19,35,26,29.8,53.6,462.2
2,1,2_1,166,102.4,89.3,5,4,5.4,6.1,5.05,3.434,60.775,53.705,3,6,18,21,29,46,50,65,108,112,144,150,105,120,5,4,5.4,6.1,5,3.4,60.4
2,2,2_2,296,102.4,242.4,11,12,11.7,13.433,13.13,10.2,173.119,156.187,8,17,36,47,74,91,103,118,167,179,255,264,159,187,11,12,11.7,13.3,13,10,171.4
2,3,2_3,635,102.4,495.8,22.3,29.5,18.472,21.93,40,26.565,350.734,303.463,22,44,80,110,181,209,257,291,397,427,562,589,379,440,22.3,28.4,18.2,21.5,37.5,23.3,344.6
2,4,2_4,827,102.4,686.1,32.2,43.43,31.62,42.642,46.28,43.442,471.11,415.27,22,62,136,176,247,294,343,379,489,527,728,770,466,547,32.2,42,31,40.4,43.2,38.6,458.7
2,5,2_5,975,102.4,909,41.6,47.47,47.798,48.36,59.276,48.32,655.458,594.725,22,67,139,183,273,332,406,444,566,617,870,916,536,632,40.6,46,46.6,46.5,54.3,43.6,631.4
2,6,2_6,1040,102.4,940.3,35.5,50.229,66.474,28.704,41.87,41.747,721.854,647.85,31,82,153,203,292,358,418,472,605,651,903,955,567,671,35.5,48.5,64.6,27.6,38.4,36.3,689.4
3,1,3_1,135,111.56757,98.5,4,4.6,4,4.7,4,5.151,72.246,66.59,9,12,18,27,44,47,53,63,85,88,109,123,82,94,4,4.6,4,4.7,4,5.1,72.1
3,2,3_2,477,111.56757,379.5,14,14,12.726,16.16,23.46,12.647,292.982,266.348,42,55,74,87,116,133,156,171,246,268,387,427,234,278,14,14,12.6,16,23,12.2,287.7
3,3,3_3,681,111.56757,628.9,33,22.523,31.008,27.754,61.307,21.561,449.206,405.726,60,90,129,153,205,237,274,301,395,451,594,638,373,440,33,22.3,30.4,27.2,59,20.4,436.6
3,4,3_4,997,111.56757,922.6,42.11,39.934,48.822,44.2,55.226,26.948,705.316,631.176,70,111,172,214,301,350,409,455,602,667,875,927,567,664,42,39.4,47.4,42.5,52.1,24.8,674.4
3,5,3_5,1221,111.56757,1161,50.36,43.554,70.862,52.5,79.128,68.2,861.294,771.094,87,136,217,264,371,441,521,578,769,839,1076,1137,734,854,50,42.7,68.4,50,73.4,62,814.5
6,1,6_1,198,93.6,110.2,5.1,5,5,9.7,8.787,9.09,68.001,62.85,7,12,33,37,45,49,58,71,117,130,174,182,114,131,5.1,5,5,9.7,8.7,9,67.7
6,2,6_2,394,93.6,275.5,17,11.3,10.302,15.958,20.196,17.922,186.703,177.33,21,37,69,82,113,133,147,177,256,291,354,374,245,283,17,11.3,10.2,15.8,19.8,17.4,184
6,3,6_3,568,93.6,524.2,33,32.32,34.028,33.152,30.431,36.687,336.018,319.408,41,71,120,149,199,230,265,302,396,423,492,534,385,440,33,32,33.4,32.5,29.3,35,329
6,4,6_4,808,93.6,788.8,41,41.672,41.981,46.95,51.801,55.64,536.963,509.982,62,100,176,216,295,339,384,426,570,613,727,774,554,633,41,41.1,40.8,45.3,49.2,52,519.4
6,5,6_5,1060,93.6,1005.1,58.804,39.882,59.016,57.426,68.266,74.626,694.175,654.105,84,143,232,270,356,409,454,512,724,786,940,1006,701,806,58.4,39.1,57.2,55.1,63.8,68.4,663.1
6,6,6_6,1351,93.6,1533.3,89.132,86.267,78.169,87.586,94.833,161.7,1026.525,933.245,138,203,294,352,482,561,630,703,938,1013,1215,1289,916,1050,88.2,83.9,74.6,82.6,86.9,147,970.1
8,1,8_1,193,120,79.7,3.4,3,3,3.7,6.363,3.03,57.553,48.968,23,29,45,47,60,62,74,83,105,113,141,143,104,122,3.4,3,3,3.7,6.3,3,57.3
8,2,8_2,268,120,157.9,11,7,6,6.125,10.1,11.252,107.49,88.304,17,25,43,48,70,75,92,107,144,153,194,205,142,166,11,7,6,6.1,10,11.1,106.7
8,3,8_3,488,120,434.2,23,17.372,21.624,23.664,14.626,21.424,321.172,268.028,72,94,142,160,204,226,264,284,348,363,410,435,345,392,21,17.2,21.2,23.2,14.2,18.6,318.8
8,4,8_4,719,120,639,29.593,31.04,30.076,31.533,21.525,28.302,486.655,421.514,104,135,196,228,302,332,392,423,507,531,621,653,501,572,27.3,30.5,29.2,30.4,20.5,24.7,476.4
8,5,8_5,903,120,799.7,36.562,32.334,40.617,40.955,37.524,42.39,602.467,522.201,130,176,262,298,385,425,495,530,638,676,783,825,631,720,34.2,31.7,39.2,38.1,34.4,37.4,584.7
10,1,10_1,127,126.61417,87.8,3,3,4.2,7.3,3,6,61.444,45.9,5,7,13,15,21,35,57,65,76,78,94,98,90,101,3,3,4.2,7.3,3,6,61.3
10,2,10_2,437,126.61417,342,16,14,7.171,18.483,13.668,21.939,256.689,193.785,20,35,66,79,118,143,178,197,226,242,337,359,323,365,16,14,7.1,18.3,13.4,21.3,251.9
10,3,10_3,685,126.61417,661.3,25,22.321,30.662,28.158,24.102,40.95,509.332,389.31,58,81,132,153,198,226,276,306,358,384,517,556,491,558,25,22.1,30.1,27.6,23.4,39,494.1
10,4,10_4,859,126.61417,853.8,32,32.421,35.802,43.775,36.608,51.878,653.868,508.924,64,93,165,195,255,288,351,392,456,490,668,709,641,725,32,32.1,35.1,42.5,35.2,48.8,628.1
10,5,10_5,1136,126.61417,1041.5,40.05,33.152,39.346,51.584,48.058,60.458,820.656,637.547,68,105,192,228,312,367,453,499,568,624,853,912,813,925,40,32.6,38.2,49.6,45.6,55.8,779.7
10,6,10_6,1205,126.61417,1105.1,57.188,37.332,48.69,56.7,43.826,59.841,861.813,657.554,89,130,230,280,379,426,528,581,664,710,946,995,911,1030,56.8,36.6,47,54,41.3,54.9,814.5
11,1,11_1,126,89.18919,70.5,5.4,4,3.8,5.1,5,6.363,40.962,35.71,5,22,25,28,31,41,48,62,87,91,101,109,85,96,5.4,4,3.8,5.1,5,6.3,40.9
11,2,11_2,297,89.18919,202.3,13,13.6,11.206,9.696,11.618,13.974,131.008,123.562,18,30,47,65,85,106,119,141,200,223,258,277,195,223,13,13.6,11.2,9.6,11.4,13.7,129.8
11,3,11_3,367,89.18919,327.7,21.7,21.281,24.24,20.503,23.664,23.175,197.747,185.799,41,68,88,108,127,150,171,191,269,289,328,348,261,296,21.7,21.2,24,20.3,23.2,22.5,194.8
11,4,11_4,597,89.18919,523.1,31.2,33.128,35.772,37.753,39.728,37.59,321.069,287.679,46,86,121,159,186,222,253,304,414,443,514,555,402,461,31.2,32.8,35.2,37,38.2,35.8,312.9
11,5,11_5,722,89.18919,666.3,43.7,48.208,45.186,47.174,48.93,50.774,403.544,372.444,64,110,164,215,252,298,337,386,519,558,635,678,505,576,43.6,47.6,44.3,45.8,46.6,47.9,390.5
13,1,13_1,134,116.57143,87.5,3,3,3.7,6,4.3,3.03,64.693,54.896,9,11,16,18,24,33,63,68,79,94,115,117,61,73,3,3,3.7,6,4.3,3,64.5
13,2,13_2,381,116.57143,300.1,15,10.3,10.403,23.634,7.65,19.181,217.734,180.232,33,47,69,81,104,116,161,187,227,247,293,317,153,190,15,10.3,10.3,23.4,7.5,18.7,214.9
13,3,13_3,462,116.57143,411.8,16.1,18.282,18.685,19.278,16.729,18.231,311.791,259.692,49,65,91,110,156,177,225,251,295,313,371,393,218,263,16.1,18.2,18.5,18.9,16.3,17.7,306.1
13,4,13_4,719,116.57143,636.7,28.5,30.704,25.908,31.93,25.064,26.565,487.112,395.848,59,90,128,161,218,254,334,364,430,463,563,598,326,396,28.5,30.4,25.4,31,24.1,25.3,472
13,5,13_5,985,116.57143,847.4,40.309,44.88,33.405,44.52,12.72,49.248,662.733,534.597,92,156,250,293,368,428,534,588,682,693,807,856,516,613,40,44,32.3,42.4,12,45.6,631.1
15,1,15_1,156,103.38462,90.5,4.2,3,4.2,4.7,6.363,6.363,62.073,51.266,5,19,27,29,49,63,77,87,105,113,130,138,75,89,4.2,3,4.2,4.7,6.3,6.3,61.8
15,2,15_2,322,103.38462,233.5,10,9.6,9.4,11.716,17.748,16.728,160.958,139.834,9,17,44,58,87,99,154,170,207,221,259,283,149,180,10,9.6,9.4,11.6,17.4,16.4,159.1
15,3,15_3,546,103.38462,499.9,25,26.563,20.725,24.786,26.883,27.872,358.898,280.718,48,67,111,136,180,202,260,286,347,373,430,457,251,304,25,26.3,20.5,24.3,26.1,26.8,350.9
15,4,15_4,773,103.38462,742.9,39.822,32.623,37.474,37.558,37.8,36.888,545.514,436.508,63,104,169,200,266,304,392,429,509,543,617,652,381,458,39.8,32.3,36.7,36.2,36,34.8,527.1
